Сургалтын_төлөвлөгөөний_дугаар,Хөтөлбөрийн_дугаар,Сургалтын_төлөвлөгөө,Хөтөлбөрийн_нэр,Хөтөлбөр_Батлагдсан_он
fecc3a370a23d13b1cf91ac3c1e1ca92,b2c78ee840565182a815b911a922f7d6,2022,"Багш, физикийн боловсрол",2021
48e95c45c8217961bf6cd7696d80d238,b2c78ee840565182a815b911a922f7d6,2023,"Багш, физикийн боловсрол",2021
d6317f80523fdf2a7375da19c9a006b8,bf7886732f69811d3da88d3bb879fa3e,2022,"Багш, химийн боловсрол",2021
b32e8760418e68f23c811a1cfd6bda78,bf7886732f69811d3da88d3bb879fa3e,2023,"Багш, химийн боловсрол",2021
c96ebeee051996333b6d70b2da6191b0,8bfe9750eaed7b72379eccf1128c11fe,2022,Хүн ам зүй,2021
fd9dd764a6f1d73f4340d570804eacc4,8bfe9750eaed7b72379eccf1128c11fe,2023,Хүн ам зүй,2021
0c7119e3a6a2209da6a5b90e5b5b75bd,6269d5cdb85414c55ec2ef62e701e459,2022,"Багш, гадаад хэлний боловсрол (Англи)",2021
bf5a1d9043100645b2067fa70d7a1ea6,6269d5cdb85414c55ec2ef62e701e459,2023,"Багш, гадаад хэлний боловсрол (Англи)",2021
137bdd55f159c4f5556391f53e608f2e,067a9c3f571cdeb22f4e89c4d38a65f4,2014,"Багш, монгол хэл, уран зохиолын боловсрол",2021
f2925f97bc13ad2852a7a551802feea0,067a9c3f571cdeb22f4e89c4d38a65f4,2023,"Багш, монгол хэл, уран зохиолын боловсрол",2021
2912bbeedc16c67bd0529ab7d438c1ac,66a72aea6aef9e42e4cccc2b22c3510e,2022,"Багш, нийгмийн ухааны боловсрол (Түүх)",2021
48237d9f2dea8c74c2a72126cf63d933,66a72aea6aef9e42e4cccc2b22c3510e,2023,"Багш, нийгмийн ухааны боловсрол (Түүх)",2021
22f2729737ae3dc9702e4cee0eb3e900,bba95c85e8f6904c363431a1de77033e,2022,Газарзүй,2021
3a2a9aef4cbed81244820a091667c0bd,bba95c85e8f6904c363431a1de77033e,2023,Газарзүй,2021
084afd913ab1e6ea58b8ca73f6cb41a6,a9588510f903e18b056dbeb555439f1c,2022,"Багш, гадаад хэлний боловсрол (Орос)",2021
be3b0b544433b768685e3436621590ff,a9588510f903e18b056dbeb555439f1c,2023,"Багш, гадаад хэлний боловсрол (Орос)",2021
dc363817786ff182b7bc59565d864523,a9588510f903e18b056dbeb555439f1c,2023,"Багш, гадаад хэлний боловсрол (Орос)",2021
e88f243bf341ded9b4ced444795c3f17,5ad85ed096bc5f6ddda4fe5ce6c64857,2022,НУС-ын иргэнд зориулсан сургалт,2022
808e53023ea4a8a9d6ecbc1290580f72,a0e1a1a298839595bb5775de9c91da9b,2022,"Багш, гадаад хэлний боловсрол (Солонгос)",2023
66fae5b05c0f64c4d2bdcdf1ad85f7b2,a0e1a1a298839595bb5775de9c91da9b,2023,"Багш, гадаад хэлний боловсрол (Солонгос)",2023
5a7b238ba0f6502e5d6be14424b20ded,c26eb255ac9244082f335831257e9dd6,2022,"Багш, гадаад хэлний боловсрол (Япон)",2023
6c468ec5a41d65815de23ec1d08d7951,c26eb255ac9244082f335831257e9dd6,2023,"Багш, гадаад хэлний боловсрол (Япон)",2023
12780ea688a71dabc284b064add459a4,4cf57011b70a2538da2eaa099b1c61a9,2022,"Багш, гадаад хэлний боловсрол (Хятад)",2023
fd0a5a5e367a0955d81278062ef37429,4cf57011b70a2538da2eaa099b1c61a9,2023,"Багш, гадаад хэлний боловсрол (Хятад)",2023
28b9f8aa9f07db88404721af4a5b6c11,dab55d17e84786d680f8fae825b3eb50,2023,ХУС-ийн иргэнд зориулсан сургалт (доктор),2023
5e0f17d9e09d1881692cf84a3b869f75,2820a884518ca0e1ec297f92bdf44795,2023,Байгаль орчны зайнаас тандан судлал,2023
6e7d5d259be7bf56ed79029c4e621f44,c72500d057903bcbc1a83b681f108092,2023,Утга зохиол судлал,2023
2109737282d2c2de4fc5534be26c9bb6,c72500d057903bcbc1a83b681f108092,2023,Утга зохиол судлал,2023
be3087e74e9100d4bc4c6268cdbe8456,1ea37796e322d70eca599fab04b37714,2023,Урлаг судлал,2023
2c8ed8587468aec2462a3914f154e570,1ea37796e322d70eca599fab04b37714,2023,Урлаг судлал,2023
7967cc8e3ab559e68cc944c44b1cf3e8,f80961e98368645e11b536d9e99ee609,2023,Антропологи,2023
ce059ef4192cbdcb40df4422c090f1c3,cb33cfc5fd750192bf02d48813978bd2,2023,Орон судлал (Америк),2023
fd4d801731725513a4d77aa9bb35534b,3682456b90c470fdae89fe1d739e0cab,2023,Орон судлал (Их Британи),2023
8da57fac3313174128cc5f13328d4573,503ebaaf44b3165f7f0d2e9338902d9d,2023,Орон судлал (Испани),2023
c19af480c40e343bbac3e2c01967b09f,503ebaaf44b3165f7f0d2e9338902d9d,2023,Орон судлал (Испани),2023
a4a8a31750a23de2da88ef6a491dfd5c,b8aa5ab62ba01851e463a6bbf1825896,2023,Орон судлал (Итали),2023
0a988fc2992add2d3233e19c7aadfdea,b8aa5ab62ba01851e463a6bbf1825896,2023,Орон судлал (Итали),2023
db90f689b1567600818428ca3dfc88a3,f9f7290d94ba60c19e400b4d2c946cee,2023,Орон судлал (Польш),2023
164bf317ea19ccfd9e97853edc2389f4,f9f7290d94ba60c19e400b4d2c946cee,2023,Орон судлал (Польш),2023
ba2f0015122a5955f8b3a50240fb91b2,c68ea213272e4da4ec7d3a1b2b95a5ca,2023,Геофизик,2023
0b33f2e8843e8b440dd8caf7086995b0,c68ea213272e4da4ec7d3a1b2b95a5ca,2023,Геофизик,2023
510731ac096ebcb3989fb1ed5b7075bb,b9d2ed9b921a6a896e71961b968b8d5f,2023,Орон судлал (Франц),2023
024677efb8e4aee2eaeef17b54695bbe,b9d2ed9b921a6a896e71961b968b8d5f,2023,Орон судлал (Франц),2023
beb04c41b45927cf7e9f8fd4bb519e86,ed4694aaedd1b5c30d34376236519dcc,2023,Орон судлал (Чех),2023
3ce257b311e5acf849992f5a675188e8,ed4694aaedd1b5c30d34376236519dcc,2023,Орон судлал (Чех),2023
cf5530d9e441e0d78574353214373569,a8db8a1dfa35bd2ba276ec267d28fd19,2023,Орон судлал (Солонгос),2023
e6e9099e59636a015536fbb07f979201,a8db8a1dfa35bd2ba276ec267d28fd19,2023,Орон судлал (Солонгос),2023
1e69276e3d5650de297e980aa4f59671,4531fbaf773ef7f60ff2cd1be2810148,2023,Орон судлал (Хятад),2023
edea298442a67de045e88dfb6e5ea4a2,4531fbaf773ef7f60ff2cd1be2810148,2023,Орон судлал (Хятад),2023
2ba61cc3a8f44143e1f2f13b2b729ab3,09dff2efb48cc621a5168282337f1a78,2023,Орон судлал (Турк),2023
31f81674a348511b990af268ca3a8391,09dff2efb48cc621a5168282337f1a78,2023,Орон судлал (Турк),2023
6616758da438b02b8d360ad83a5b3d77,460b9b5cea82b5cef3f5f980e0005597,2023,Хот ба бүс нутгийн төлөвлөлт,2023
d4ec33c0c23ae3c91764fcc625108a5a,a0f90b823722bf8a25eade1eead86702,2023,Орон судлал (Араб),2023
78631a4bb5303be54fa1cfdcb958c00a,a0f90b823722bf8a25eade1eead86702,2023,Орон судлал (Араб),2023
4f714c73db5191f3a71a380cba8843ed,dcd4c3945fae454768c9387d749e00e0,2023,Орон судлал (Япон),2023
167ccbe15cc1664c9a63c20ac4c6a55a,dcd4c3945fae454768c9387d749e00e0,2023,Орон судлал (Япон),2023
662a2e96162905620397b19c9d249781,ce96ee8b9fdd0d8d7932b17115a0a2b6,2023,Биологийн нөөц судлал,2023
4c4e5249f45d8cf6a0387c58ac13f514,db5c68ec9376f3da827746ba696144ff,2023,Газар зохион байгуулалт,2023
a64a034c3cb8eac64eb46ea474902797,a14ca2e3a760f4b563dd5b7c5cd48eca,2023,Геологи,2023
e34376937c784505d9b4fcd980c2f1ce,a14ca2e3a760f4b563dd5b7c5cd48eca,2023,Геологи,2023
2e92962c0b6996add9517e4242ea9bdc,c1a6879be808a8fdef0d5751b2cc14fb,2023,Хэрэглээний хими,2023
bf25356fd2a6e038f1a3a59c26687e80,de2b16912c82a22cfb979754024a3ddc,2023,Физик электроник,2023
08f36fcf88c0a84c19a6ed437b9cbcc9,bac89e547073823b6e8f86ce390b2d25,2014,Математикийн боловсрол,2023
fa1839c55070bf5cb53fd4a2e523641c,bac89e547073823b6e8f86ce390b2d25,2021,Математикийн боловсрол,2023
23712318a400454a2c049f165106d985,a48683a22146d009bb338580e6626fbd,2014,Математикийн боловсрол,2023
ac2460b56866901d732f996b82b69d31,662673a35718ce5ad7316b819f938ef6,2014,Математик,2023
c6e81542b125c36346d9167691b8bd09,63aac1bd8704de5e0cfb987e267a6a08,2014,Математик,2023
94b087da83ceb5fe6f1a13150f8c0471,63aac1bd8704de5e0cfb987e267a6a08,2021,Математик,2023
9ba82616fac74de9ce334ea7532cfddc,f50a36f37b58c09ca03df0274f98a47a,2014,Математик,2023
24f2f931f12a4d9149876a5bef93e96a,e60bc2ec52b0cc2d0fea55073fa401cc,2014,Физикийн боловсрол,2023
f4f691ac947fd92b7ab3c33d3f90bfed,853e033334e48477e1e12de8c68b2121,2014,Физик,2023
d7e4cdde82a894b8f633e6d61a01ef15,853e033334e48477e1e12de8c68b2121,2021,Физик,2023
d72a7ed33514158ae5e68ed6d80177b9,7c5c1bd1290f2d66ed55c7607bf7abaa,2014,Физикийн боловсрол,2023
03b2ceb73723f8b53cd533e4fba898ee,7cf37e696542acd70ddd2431005a4c01,2014,Сансар судлал,2023
d7b431b1a0cc5f032399870ff4710743,01b116b3078dfeab4baec5f2d57cf3b6,2014,Физик,2023
1f5f5b265100daad35b3a491e1c55351,25c16369f2c6aa4315f82cdefed2c5a5,2014,Химийн боловсрол,2023
139042a4157a773f209847829d80894d,6d49f44e2474fda6572c662a56790569,2014,Хими,2023
675be3930765f553975c0b140bbf0863,6d49f44e2474fda6572c662a56790569,2021,Хими,2023
56c3b2c6ea3a83aaeeff35eeb45d700d,9cbdb53f6b1101e9f501f4ef422d20b1,2014,Химийн боловсрол,2023
d902c3ce47124c66ce615d5ad9ba304f,eddcf66aefa6e73ddd7acd905771e411,2014,Хими,2023
1bc2029a8851ad344a8d503930dfd7f7,8186922d0e1da43dd3ea2a181cb5f89f,2014,Биологи,2023
b8cfbf77a3d250a4523ba67a65a7d031,8186922d0e1da43dd3ea2a181cb5f89f,2021,Биологи,2023
f01acd85b5e40e93f565627a8bb8bd98,e328409b3417f4ac60f9bbfddf06d66e,2014,Биохими,2023
14db62200d8bf46551aa214accafe1df,e328409b3417f4ac60f9bbfddf06d66e,2021,Биохими,2023
fdbe012e2e11314b96402b32c0df26b7,a4215e3af99a4f7de503aa7e8f4dda43,2014,Биофизик,2023
85f3375756047fba207ce9b85780313b,4352cbe2a7c052a0c5a791946e141819,2014,Экологи,2023
7f848746fe2599dc199a75f0d02fc3d6,4352cbe2a7c052a0c5a791946e141819,2021,Экологи,2023
b05bf587ec7ce83518b72eb0d011a353,545f6d97a83be18dac2d34effd7bf3e6,2014,Биотехнологи,2023
d47619b92cebc6ebfa07969ab5370ae6,a6501e84d04b4ed3626d4bfeb02fe3e7,2014,Биологийн нөөц судлал,2023
bdcc41211aa62a8f10f26d1a2d1727bf,203308d93274a0975de373f3e73d48fc,2015,Биоинформатик,2023
7ec69dd44416c46745f6edd947b470cd,d07665c23439b92ffb19c4fa09ba7d27,2014,Газарзүйн боловсрол,2023
1134ac57b5b1d38b7d70c1b6feaa28cf,83e0b1ba26ce0cebbec1911fbea00291,2014,Газарзүйн боловсрол,2023
ae3f58a127f6c1f12c4942432d1f246a,db0f89c14d9c3ada77b75415553a75c7,2020,Газарзүй,2023
9e886e4b377efe990f936dde0d9c98ca,94071421fe599731be0ff48dd3b313f2,2014,Газар зохион байгуулалт,2023
378fb9f589cf7930275f25e4b5afbddd,78cf7ba2271b922083a1b801be7a2b96,2020,Газар зохион байгуулалт,2023
f998fe2862e4dbab7e4d18de41d02d3b,e08c0838b2b1e2fc46db3a2e4fc6bdde,2014,Хот ба бүс нутгийн төлөвлөлт,2023
